lead_time,total_nights,adults,children,babies,adr,room_price_total,booking_changes,days_in_waiting_list,total_of_special_requests,previous_cancellations,previous_bookings_not_canceled,hotel,is_repeated_guest,Cụm,Tên Cụm
49,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
49,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
7,1,2,0.0,0,75.0,66.0,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
13,1,2,0.0,0,75.0,66.0,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
14,2,2,0.0,0,98.0,172.48,0,0,1,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
0,2,2,0.0,0,107.0,188.32,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
9,2,2,0.0,0,103.0,113.30000000000001,0,0,1,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
85,3,2,0.0,0,82.0,216.48,0,0,1,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
75,3,2,0.0,0,105.5,221.54999999999998,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
23,4,2,0.0,0,123.0,432.96,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
35,4,2,0.0,0,145.0,406.0,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
68,4,2,0.0,0,97.0,341.44,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
18,4,2,0.0,0,154.77,433.356,0,0,1,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
37,4,2,0.0,0,94.71,333.37919999999997,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
68,4,2,0.0,0,97.0,341.44,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
37,4,2,0.0,0,97.5,343.2,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
12,1,2,0.0,0,88.2,77.616,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
0,1,2,0.0,0,107.42,94.5296,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
7,4,2,0.0,0,153.0,538.5600000000001,0,0,1,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
37,5,2,0.0,0,97.29,428.076,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao
72,6,2,0.0,0,84.67,447.05760000000004,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao
72,6,2,0.0,0,99.67,526.2576,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao
127,7,2,0.0,0,94.95,465.255,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao
78,7,2,0.0,0,63.6,391.776,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
48,7,2,0.0,0,79.5,489.71999999999997,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
60,7,2,0.0,0,107.0,659.12,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao
77,7,2,0.0,0,94.0,579.04,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
99,7,2,0.0,0,87.3,537.768,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao
118,6,2,0.0,0,62.0,327.36,0,0,2,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
95,6,2,0.0,0,63.86,337.18080000000003,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
96,4,2,0.0,0,108.3,381.216,0,0,2,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
69,6,2,0.0,0,65.5,345.84000000000003,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
45,4,2,0.0,0,108.8,382.976,0,0,1,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
40,4,2,0.0,0,108.8,382.976,0,0,1,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
15,4,2,0.0,0,98.0,344.96,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
36,4,2,0.0,0,108.8,382.976,0,0,1,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
43,4,2,0.0,0,108.8,382.976,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
70,5,2,0.0,0,137.0,479.49999999999994,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao
45,5,2,0.0,0,117.81,518.364,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
45,5,2,0.0,0,79.5,349.79999999999995,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
16,5,2,0.0,0,123.0,541.1999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
107,7,2,0.0,0,110.7,681.912,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao
47,7,2,0.0,0,153.0,942.4800000000001,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
96,7,2,0.0,0,58.95,363.13200000000006,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao
113,7,2,0.0,0,82.88,510.5408,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao
90,7,2,0.0,0,82.35,403.51499999999993,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
50,7,2,0.0,0,119.35,584.8149999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao
113,7,2,0.0,0,67.58,416.2928,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao
93,5,2,0.0,0,56.01,246.44400000000002,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
76,6,2,0.0,0,110.7,584.496,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao
3,1,2,0.0,0,88.2,77.616,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
1,1,2,0.0,0,147.0,129.36,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
1,1,2,0.0,0,107.0,94.16,0,0,2,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
0,1,2,0.0,0,147.0,129.36,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
0,1,2,0.0,0,117.9,103.75200000000001,0,0,2,0,0,Resort Hotel,False,1,Khách chi tiêu trung bình
0,1,2,0.0,0,123.0,108.24,0,0,0,0,0,Resort Hotel,False,0,Khách chi tiêu thấp
