lead_time,total_nights,adults,children,babies,adr,room_price_total,booking_changes,days_in_waiting_list,total_of_special_requests,previous_cancellations,previous_bookings_not_canceled,hotel,is_repeated_guest,Cụm,Tên Cụm,Cụm_Chi_Tiết,Tên_Cụm_Chi_Tiết
23,4,2,0.0,0,123.0,432.96,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
35,4,2,0.0,0,145.0,406.0,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
37,5,2,0.0,0,97.29,428.076,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
72,6,2,0.0,0,84.67,447.0576,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
72,6,2,0.0,0,99.67,526.2576,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
127,7,2,0.0,0,94.95,465.255,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
78,7,2,0.0,0,63.6,391.776,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
48,7,2,0.0,0,79.5,489.72,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
60,7,2,0.0,0,107.0,659.12,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
77,7,2,0.0,0,94.0,579.04,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
99,7,2,0.0,0,87.3,537.768,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
95,6,2,0.0,0,63.86,337.18080000000003,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
69,6,2,0.0,0,65.5,345.84000000000003,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
70,5,2,0.0,0,137.0,479.5,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
45,5,2,0.0,0,117.81,518.364,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
16,5,2,0.0,0,123.0,541.1999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
107,7,2,0.0,0,110.7,681.912,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
47,7,2,0.0,0,153.0,942.48,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,1,Luxury / Premium
96,7,2,0.0,0,58.95,363.13200000000006,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
113,7,2,0.0,0,82.88,510.5408,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
90,7,2,0.0,0,82.35,403.51499999999993,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
50,7,2,0.0,0,119.35,584.8149999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
113,7,2,0.0,0,67.58,416.2928,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
76,6,2,0.0,0,110.7,584.496,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
72,4,2,0.0,0,110.7,389.664,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
81,8,2,0.0,0,85.86,604.4544,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,2,Đi công tác / Gia đình / Tiêu chuẩn
81,5,2,0.0,0,124.0,434.0,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,0,Nhu cầu cao / Kỳ vọng cao
