lead_time,total_nights,adults,children,babies,adr,room_price_total,booking_changes,days_in_waiting_list,total_of_special_requests,previous_cancellations,previous_bookings_not_canceled,hotel,is_repeated_guest,Cụm,Tên Cụm,adr_adj,room_price_total_adj,total_nights_adj,Cụm_Chi_Tiết
23,4,2,0.0,0,123.0,432.96,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,61.5,216.48,2.0,0
35,4,2,0.0,0,145.0,406.0,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,72.5,203.0,2.0,0
37,5,2,0.0,0,97.29,428.076,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,48.645,214.038,2.5,2
72,6,2,0.0,0,84.67,447.0576,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,42.335,223.5288,3.0,2
72,6,2,0.0,0,99.67,526.2576,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,49.835,263.1288,3.0,2
127,7,2,0.0,0,94.95,465.255,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,47.475,232.6275,3.5,2
78,7,2,0.0,0,63.6,391.776,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,31.8,195.888,3.5,2
48,7,2,0.0,0,79.5,489.72,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,39.75,244.86,3.5,2
60,7,2,0.0,0,107.0,659.12,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,53.5,329.56,3.5,1
77,7,2,0.0,0,94.0,579.04,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,47.0,289.52,3.5,2
99,7,2,0.0,0,87.3,537.768,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,43.65,268.884,3.5,2
95,6,2,0.0,0,63.86,337.18080000000003,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,31.93,168.59040000000002,3.0,2
69,6,2,0.0,0,65.5,345.84000000000003,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,32.75,172.92000000000002,3.0,2
70,5,2,0.0,0,137.0,479.5,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,68.5,239.75,2.5,0
45,5,2,0.0,0,117.81,518.364,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,58.905,259.182,2.5,0
16,5,2,0.0,0,123.0,541.1999999999999,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,61.5,270.59999999999997,2.5,0
107,7,2,0.0,0,110.7,681.912,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,55.35,340.956,3.5,1
47,7,2,0.0,0,153.0,942.48,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,76.5,471.24,3.5,1
96,7,2,0.0,0,58.95,363.13200000000006,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,29.475,181.56600000000003,3.5,2
113,7,2,0.0,0,82.88,510.5408,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,41.44,255.2704,3.5,2
90,7,2,0.0,0,82.35,403.51499999999993,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,41.175,201.75749999999996,3.5,2
50,7,2,0.0,0,119.35,584.8149999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,59.675,292.40749999999997,3.5,2
113,7,2,0.0,0,67.58,416.2928,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,33.79,208.1464,3.5,2
76,6,2,0.0,0,110.7,584.496,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,55.35,292.248,3.0,2
72,4,2,0.0,0,110.7,389.664,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,55.35,194.832,2.0,0
81,8,2,0.0,0,85.86,604.4544,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,42.93,302.2272,4.0,2
81,5,2,0.0,0,124.0,434.0,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,62.0,217.0,2.5,0
99,5,2,0.0,0,111.15,389.025,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,55.575,194.5125,2.5,0
49,6,2,0.0,0,134.73,565.866,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,67.365,282.933,3.0,0
69,6,2,0.0,0,92.45,488.1360000000001,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,46.225,244.06800000000004,3.0,2
63,7,2,0.0,0,117.0,720.7199999999999,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,58.5,360.35999999999996,3.5,1
63,7,2,0.0,0,196.54,963.0459999999998,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,98.27,481.5229999999999,3.5,1
101,7,2,0.0,0,99.3,611.688,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,49.65,305.844,3.5,2
102,7,2,0.0,0,90.95,560.252,0,0,0,0,0,Resort Hotel,False,2,Khách chi tiêu cao,45.475,280.126,3.5,2
92,6,2,0.0,0,96.49,509.46719999999993,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,48.245,254.73359999999997,3.0,2
95,6,2,0.0,0,85.8,453.024,0,0,2,0,0,Resort Hotel,False,2,Khách chi tiêu cao,42.9,226.512,3.0,2
102,7,2,0.0,0,96.3,593.208,0,0,1,0,0,Resort Hotel,False,2,Khách chi tiêu cao,48.15,296.604,3.5,2
